tweet_id,favorite,retweet
892420643555336193,34051,7061
892177421306343426,29541,5334
891815181378084864,22253,3507
891689557279858688,37213,7267
891327558926688256,35566,7809
891087950875897856,17950,2619
890971913173991426,10440,1683
890729181411237888,57245,15868
890609185150312448,24686,3648
890240255349198849,28172,6141
890006608113172480,27233,6190
889880896479866881,24769,4195
889665388333682689,42339,8402
889638837579907072,23838,3744
889531135344209921,13445,1889
889278841981685760,22269,4469
888917238123831296,25841,3789
888804989199671297,22633,3567
888554962724278272,17455,2901
888078434458587136,19308,2918
887705289381826560,26824,4561
887517139158093824,41046,9906
887473957103951883,60606,15130
887343217045368832,29818,8874
887101392804085760,27177,5024
886983233522544640,30596,6356
886736880519319552,10566,2652
886680336477933568,19888,3757
886366144734445568,18693,2649
886267009285017600,105,4
886258384151887873,24714,5320
886054160059072513,0,93
885984800019947520,28811,5658
885528943205470208,31810,5368
885518971528720385,18149,3133
885311592912609280,0,15542
885167619883638784,19390,3687
884925521741709313,67768,15133
884876753390489601,24581,4704
884562892145688576,21479,3940
884441805382717440,24052,4825
884247878851493888,63712,17010
884162670584377345,18072,2516
883838122936631299,19332,2882
883482846933004288,40525,8325
883360690899218434,20101,3102
883117836046086144,32760,5569
882992080364220416,21143,3263
882762694511734784,24966,4119
882627270321602560,24775,5101
882268110199369728,39455,9712
882045870035918850,25939,4112
881906580714921986,21608,2879
881666595344535552,44855,9020
881633300179243008,113,8
881536004380872706,43746,13497
881268444196462592,20666,4529
880935762899988482,15180,2354
880872448815771648,18868,3228
880465832366813184,25186,5254
880221127280381952,23847,3499
880095782870896641,24528,3684
879862464715927552,19848,2945
879674319642796034,282,9
879492040517615616,20856,2647
879415818425184262,93501,37691
879376492567855104,14969,2669
879130579576475649,0,5780
879050749262655488,19978,3980
879008229531029506,16908,2261
878776093423087618,17268,3464
878604707211726852,26632,5971
878404777348136964,0,1087
878316110768087041,0,5568
878281511006478336,6843,1087
878057613040115712,37443,5780
877736472329191424,69813,15911
877611172832227328,0,70
877556246731214848,20086,3191
877316821321428993,24344,4376
877201837425926144,24023,4668
876838120628539392,18369,2826
876537666061221889,21220,4010
876484053909872640,16681,2016
876120275196170240,24877,3936
875747767867523072,22313,3608
875144289856114688,19555,4180
875097192612077568,24448,5158
875021211251597312,22734,4009
874680097055178752,24804,3945
874434818259525634,0,12298
874296783580663808,23163,3510
874057562936811520,20295,3408
874012996292530176,30361,8637
873580283840344065,21571,3364
873337748698140672,0,1337
873213775632977920,6365,1337
872967104147763200,24253,4590
872820683541237760,13162,3189
872620804844003328,18488,3088
872486979161796608,36395,7769
872122724285648897,30455,6888
871879754684805121,33374,9303
871762521631449091,18036,2987
871515927908634625,18033,2970
871166179821445120,0,4926
871102520638267392,18687,4725
871032628920680449,20311,3257
870804317367881728,30030,5309
870726314365509632,106,3
870656317836468226,10970,2223
870374049280663552,74580,22933
870308999962521604,19650,3571
870063196459192321,32652,7120
869772420881756160,38314,8753
869702957897576449,25252,5421
869596645499047938,14314,2654
869227993411051520,18274,3220
868880397819494401,58395,12338
868639477480148993,0,1764
868622495443632128,23834,4518
868552278524837888,9048,1764
867900495410671616,21776,3601
867774946302451713,30481,6295
867421006826221569,14468,2126
867072653475098625,0,101
867051520902168576,28941,6831
866720684873056260,17998,4154
866686824827068416,17270,2986
866450705531457537,109672,30425
866334964761202691,46965,12298
866094527597207552,0,7211
865718153858494464,23109,4893
865359393868664832,23793,4326
865006731092295680,25245,6718
864873206498414592,29045,7542
864279568663928832,13155,2602
864197398364647424,26819,7632
863907417377173506,18595,3616
863553081350529029,13788,3654
863471782782697472,0,2105
863432100342583297,21479,4582
863427515083354112,1968,80
863079547188785154,7958,958
863062471531167744,7583,2105
862831371563274240,17327,4495
862722525377298433,15454,3111
862457590147678208,18415,4283
862096992088072192,66794,20140
861383897657036800,32520,9336
861288531465048066,15467,3614
861005113778896900,15123,3357
860981674716409858,0,1864
860924035999428608,0,681
860563773140209665,6774,1864
860524505164394496,21440,4638
860276583193509888,16719,3096
860184849394610176,15120,5157
860177593139703809,0,26960
859924526012018688,17775,3605
859851578198683649,14076,3089
859607811541651456,16960,1368
859196978902773760,81167,26472
859074603037188101,30655,12051
858860390427611136,0,7126
858843525470990336,14231,3044
858471635011153920,19657,4292
858107933456039936,14362,2554
857989990357356544,14618,2282
857746408056729600,31062,9416
857393404942143489,5335,1451
857263160327368704,18385,4008
857214891891077121,207,16
857062103051644929,0,149
857029823797047296,17183,3515
856543823941562368,14953,2564
856526610513747968,10905,1667
856288084350160898,492,15
856282028240666624,25434,5618
855862651834028034,306,22
855860136149123072,4448,860
855857698524602368,10938,1879
855851453814013952,42327,16281
855818117272018944,24456,4843
855459453768019968,27315,7350
855245323840757760,0,5307
855138241867124737,0,36
854732716440526848,20849,5405
854482394044301312,26817,6061
854365224396361728,17333,4199
854120357044912130,29458,6652
854010172552949760,14971,2819
853760880890318849,26288,5149
853639147608842240,31791,8945
853299958564483072,14283,3196
852936405516943360,0,1804
852912242202992640,8318,1615
852672615818899456,13764,1935
852553447878664193,15018,3142
852311364735569921,30582,8947
852226086759018497,18475,6133
852189679701164033,10651,1437
851591660324737024,15083,3147
851464819735769094,22459,6364
851224888060895234,19206,5213
850753642995093505,28382,8160
850380195714523136,12171,2356
850333567704068097,3220,302
850145622816686080,15156,3418
850019790995546112,18919,4413
849776966551130114,28143,6875
849668094696017920,0,4479
849412302885593088,14784,2861
849336543269576704,10659,1708
849051919805034497,39350,7697
848690551926992896,23467,3953
848324959059550208,23040,4193
848213670039564288,7601,651
848212111729840128,15154,2739
847978865427394560,0,2954
847971574464610304,0,399
847962785489326080,21904,4621
847842811428974592,5060,1199
847617282490613760,6526,378
847606175596138505,17493,3120
847251039262605312,19155,3954
847157206088847362,18538,5291
847116187444137987,20054,2900
846874817362120707,18784,3582
846514051647705089,41551,10469
846505985330044928,13182,2794
846153765933735936,29378,8237
846139713627017216,29034,9247
846042936437604353,14935,2609
845812042753855489,27266,7934
845677943972139009,23646,4416
845397057150107648,7153,1635
845306882940190720,21799,4904
845098359547420673,0,7009
844979544864018432,12791,2333
844973813909606400,14051,2884
844580511645339650,15414,2842
844223788422217728,12810,2000
843981021012017153,14254,2719
843856843873095681,20123,4206
843604394117681152,15864,2499
843235543001513987,20147,5471
842846295480000512,14349,3332
842765311967449089,6343,1181
842535590457499648,17067,3213
842163532590374912,22942,5307
842115215311396866,13122,2784
841833993020538882,0,13690
841680585030541313,24231,7218
841439858740625411,11844,3354
841320156043304961,18580,5072
841314665196081154,14875,4274
841077006473256960,21540,4926
840761248237133825,0,1630
840728873075638272,0,14733
840698636975636481,166,2
840696689258311684,11582,897
840632337062862849,8503,1630
840370681858686976,15472,4211
840268004936019968,18076,5269
839990271299457024,12654,2093
839549326359670784,25789,7126
839290600511926273,0,135
839239871831150596,25448,5985
838952994649550848,18531,3696
838921590096166913,10516,1873
838916489579200512,0,31
838831947270979586,0,10128
838561493054533637,10354,1240
838476387338051585,21154,4377
838201503651401729,0,9286
838150277551247360,1579,307
838085839343206401,134,1
838083903487373313,16617,2868
837820167694528512,32120,7211
837482249356513284,3646,411
837471256429613056,12089,2078
837110210464448512,15197,2193
836989968035819520,12062,2136
836753516572119041,18288,4297
836677758902222849,11952,2044
836648853927522308,0,511
836397794269200385,0,25299
836380477523124226,14025,2772
836260088725786625,20145,4014
836001077879255040,18047,3935
835685285446955009,0,7502
835574547218894849,16813,3335
835536468978302976,0,1560
835309094223372289,0,19323
835297930240217089,15585,2765
835264098648616962,7308,1560
835246439529840640,2002,64
835172783151792128,24786,5337
835152434251116546,21117,2787
834931633769889797,10190,1501
834786237630337024,20412,5149
834574053763584002,12916,2335
834477809192075265,0,9862
834458053273591808,9108,1560
834209720923721728,19414,4376
834167344700198914,14981,3396
834089966724603904,9535,1983
834086379323871233,12360,2056
833863086058651648,12741,2227
833826103416520705,17227,3513
833732339549220864,0,207
833722901757046785,19856,3021
833479644947025920,14132,1900
833124694597443584,19154,4479
832998151111966721,12547,2037
832769181346996225,0,38
832757312314028032,16001,3356
832682457690300417,11241,2685
832645525019123713,2770,487
832636094638288896,15037,2587
832397543355072512,11343,2048
832369877331693569,16243,2954
832273440279240704,10761,2165
832215909146226688,0,5775
832215726631055365,0,8654
832088576586297345,60,2
832040443403784192,0,8900
832032802820481025,16937,4342
831939777352105988,22671,5705
831926988323639298,321,34
831911600680497154,26078,6028
831670449226514432,9882,1701
831650051525054464,6744,1804
831552930092285952,8529,2180
831322785565769729,8838,1453
831315979191906304,6227,1045
831309418084069378,11202,2289
831262627380748289,11272,1908
830956169170665475,7582,1387
830583320585068544,63001,15542
830173239259324417,0,5291
830097400375152640,9252,2728
829878982036299777,0,4640
829861396166877184,11639,1806
829501995190984704,30109,9862
829449946868879360,9957,1872
829141528400556032,23085,6835
829011960981237760,50722,15270
828801551087042563,0,3192
828770345708580865,24295,5442
828708714936930305,34550,10426
828650029636317184,9032,1257
828409743546925057,6080,1091
828408677031882754,7313,1197
828381636999917570,11982,2076
828376505180889089,7039,999
828372645993398273,11967,2746
828361771580813312,2086,166
828046555563323392,11138,2676
828011680017821696,9859,2013
827933404142436356,18995,4871
827653905312006145,14714,2814
827600520311402496,7099,870
827324948884643840,15071,2823
827199976799354881,10086,2076
826958653328592898,20474,4640
826848821049180160,34314,9423
826615380357632002,0,3711
826598799820865537,4905,232
826598365270007810,9522,2189
826476773533745153,17485,3924
826240494070030336,12616,2437
826204788643753985,4629,861
826115272272650244,14843,2888
825876512159186944,9991,1743
825829644528148480,12122,2350
825535076884762624,54451,16499
825147591692263424,17394,4219
825120256414846976,0,1176
825026590719483904,5962,1176
824796380199809024,0,5139
824775126675836928,14173,3299
824663926340194305,10000,1657
824325613288833024,11269,9970
824297048279236611,14338,3600
824025158776213504,4619,563
823939628516474880,10147,2559
823719002937630720,0,10423
823699002998870016,13326,2350
823581115634085888,12361,2460
823333489516937216,667,21
823322678127919110,14951,3748
823269594223824897,0,9273
822975315408461824,16507,3222
822872901745569793,124999,40248
822859134160621569,12547,2125
822647212903690241,0,5988
822610361945911296,14071,2749
822489057087389700,17227,5988
822462944365645825,26455,13246
822244816520155136,33320,9273
822163064745328640,0,4427
821886076407029760,10755,2161
821813639212650496,0,3136
821765923262631936,7968,1565
821522889702862852,7630,1640
821421320206483457,0,5165
821407182352777218,11177,4024
821153421864615936,238,9
821149554670182400,8175,1834
821107785811234820,9141,1988
821044531881721856,12037,2140
820837357901512704,0,6285
820749716845686786,30064,9286
820690176645140481,11662,3018
820494788566847489,0,523
820446719150292993,0,2408
820314633777061888,3187,523
820078625395449857,18783,5845
820013781606658049,0,1088
819952236453363712,5060,1088
819924195358416896,12322,4567
819711362133872643,12722,2898
819588359383371776,9228,1873
819347104292290561,6892,1122
819238181065359361,2154,383
819227688460238848,21934,6285
819015337530290176,0,34793
819015331746349057,0,17907
819006400881917954,43317,17907
819004803107983360,83234,34793
818646164899774465,0,19587
818627210458333184,21386,7104
818614493328580609,9377,2365
818588835076603904,0,5734
818536468981415936,10346,2291
818307523543449600,0,7512
818259473185828864,10481,2103
818145370475810820,11686,2386
817908911860748288,4638,744
817827839487737858,48952,25299
817777686764523521,10285,2537
817536400337801217,11202,2748
817502432452313088,0,3172
817423860136083457,32075,13690
817415592588222464,5337,895
817181837579653120,0,7930
817171292965273600,8363,1883
817120970343411712,11624,2428
817056546584727552,8189,1533
816829038950027264,0,4419
816816676327063552,9557,1898
816697700272001025,9322,2068
816450570814898180,28897,7512
816336735214911488,8220,1813
816091915477250048,8538,1997
816062466425819140,0,948
816014286006976512,0,4918
815990720817401858,4718,948
815966073409433600,21303,7930
815745968457060357,0,3887
815736392542261248,9379,2133
815639385530101762,7874,1565
815390420867969024,9897,3595
814986499976527872,7314,1198
814638523311648768,10763,2541
814578408554463233,0,5488
814530161257443328,8259,1750
814153002265309185,27460,8154
813944609378369540,0,2981
813910438903693312,8921,1745
813812741911748608,34888,13128
813800681631023104,7941,1662
813217897535406080,17804,6890
813202720496779264,8831,1719
813187593374461952,18987,4082
813172488309972993,8867,1818
813157409116065792,7426,2075
813142292504645637,8145,2260
813130366689148928,4301,421
813127251579564032,11296,2928
813112105746448384,9867,2580
813096984823349248,10113,3419
813081950185472002,9490,2616
813066809284972545,7599,1850
813051746834595840,20065,6902
812781120811126785,7199,1792
812709060537683968,6339,1364
812503143955202048,5791,1156
812466873996607488,7628,1809
812372279581671427,13039,3456
811985624773361665,6964,1320
811744202451197953,7213,1491
811647686436880384,5354,689
811627233043480576,12156,2877
811386762094317568,19996,6030
810984652412424192,5097,1345
810896069567610880,8611,1653
810657578271330305,10498,2487
810284430598270976,33572,10560
810254108431155201,14094,3192
809920764300447744,14899,3711
809808892968534016,0,4619
809448704142938112,6658,1380
809220051211603969,19044,5291
809084759137812480,12660,3331
808838249661788160,9713,2881
808733504066486276,7559,2040
808501579447930884,10851,2469
808344865868283904,40469,19587
808134635716833280,0,5557
808106460588765185,8464,2082
808001312164028416,11952,3338
807621403335917568,13965,3416
807106840509214720,112452,52045
807059379405148160,0,6943
807010152071229440,12595,3667
806629075125202948,71118,32602
806620845233815552,0,5186
806576416489959424,4686,1840
806542213899489280,9792,2233
806242860592926720,0,10954
806219024703037440,6180,1142
805958939288408065,0,5048
805932879469572096,7945,1817
805826884734976000,6291,1725
805823200554876929,0,7528
805520635690676224,5527,1566
805487436403003392,8415,2388
805207613751304193,7537,1634
804738756058218496,13091,3620
804475857670639616,5889,1906
804413760345620481,0,3026
804026241225523202,42366,15148
803773340896923648,9630,2598
803692223237865472,0,6976
803638050916102144,10448,3916
803380650405482500,7453,1779
803321560782307329,0,4997
803276597545603072,9624,2310
802952499103731712,8641,1894
802624713319034886,0,2744
802600418706604034,6823,1389
802572683846291456,8590,2376
802323869084381190,15467,5520
802265048156610565,6664,1305
802239329049477120,8722,2474
802185808107208704,0,254
801958328846974976,7423,1608
801854953262350336,1740,222
801538201127157760,7887,1970
801285448605831168,5802,780
801167903437357056,23367,5557
801127390143516673,0,3728
801115127852503040,7739,1994
800859414831898624,654,91
800855607700029440,0,1528
800751577355128832,10162,2656
800513324630806528,12613,2848
800459316964663297,9116,2073
800443802682937345,0,4061
800388270626521089,10695,2644
800188575492947969,0,3727
800141422401830912,14633,2408
800018252395122689,27095,12406
799774291445383169,0,4411
799757965289017345,8043,2023
799422933579902976,7755,1814
799308762079035393,0,5127
799297110730567681,9461,2587
799063482566066176,7747,2358
798933969379225600,12514,4186
798925684722855936,7216,1373
798705661114773508,0,6259
798701998996647937,0,7308
798697898615730177,0,6137
798694562394996736,0,4675
798686750113755136,0,2196
798682547630837760,0,4470
798673117451325440,0,5267
798665375516884993,0,3699
798644042770751489,0,1749
798628517273620480,0,1871
798585098161549313,0,5320
798576900688019456,0,5517
798340744599797760,0,3164
798209839306514432,10004,2436
797971864723324932,11058,2911
797545162159308800,13987,4647
797236660651966464,19081,6201
797165961484890113,215,25
796904159865868288,0,8416
796865951799083009,7373,1845
796759840936919040,11299,2862
796563435802726400,0,6800
796484825502875648,7250,1665
796387464403357696,10538,3917
796177847564038144,0,13471
796149749086875649,30760,13471
796125600683540480,4766,1696
796116448414461957,8715,2267
796080075804475393,8081,2183
796031486298386433,10360,3523
795464331001561088,47127,22126
795400264262053889,9589,2699
795076730285391872,15455,5139
794983741416415232,0,3179
794926597468000259,9758,2176
794355576146903043,0,9738
794332329137291264,9219,2553
794205286408003585,8841,3138
793962221541933056,16038,4619
793845145112371200,8839,1757
793614319594401792,0,2947
793601777308463104,7640,1525
793500921481273345,10202,2249
793286476301799424,23521,8654
793271401113350145,8323,2267
793256262322548741,19071,7872
793241302385262592,10061,3106
793226087023144960,9357,2737
793210959003287553,8543,2628
793195938047070209,14555,5319
793180763617361921,6617,1876
793165685325201412,8980,2639
793150605191548928,5900,1603
793135492858580992,6131,2373
793120401413079041,12119,3709
792913359805018113,13701,3737
792883833364439040,10799,4044
792773781206999040,7059,1585
792394556390137856,12819,4045
792050063153438720,6835,1683
791821351946420224,0,19872
791784077045166082,0,8959
791780927877898241,0,3580
791774931465953280,43043,20914
791672322847637504,11236,2947
791406955684368384,12583,3887
791312159183634433,8389,2386
791026214425268224,0,3849
790987426131050500,9378,2003
790946055508652032,15974,4419
790723298204217344,0,2167
790698755171364864,7873,1818
790581949425475584,19714,6702
790337589677002753,7486,1784
790277117346975746,11995,2981
790227638568808452,0,3343
789986466051088384,8874,2167
789960241177853952,0,3877
789903600034189313,9868,3905
789628658055020548,7147,1659
789599242079838210,6428,1806
789530877013393408,11182,3179
789314372632018944,8258,2157
789280767834746880,0,4621
789268448748703744,8729,2464
789137962068021249,9301,2628
788908386943430656,26278,11786
788765914992902144,26121,9738
788552643979468800,0,6708
788412144018661376,14824,4968
788178268662984705,6941,1989
788150585577050112,5842,1208
788070120937619456,0,3238
788039637453406209,5837,1241
787810552592695296,8213,2862
787717603741622272,9790,2607
787397959788929025,10417,2693
787322443945877504,7453,1638
787111942498508800,0,6343
786963064373534720,25474,7502
786729988674449408,0,2290
786709082849828864,17483,5775
786664955043049472,10123,2384
786595970293370880,9061,2954
786363235746385920,10359,3248
786286427768250368,7611,2668
786233965241827333,14523,4427
786051337297522688,1365,150
786036967502913536,0,6544
785927819176054784,10901,3013
785872687017132033,6388,1686
785639753186217984,7524,2115
785533386513321988,8656,1853
785515384317313025,5851,1179
785264754247995392,6946,1528
785170936622350336,11456,4534
784826020293709826,9629,3026
784517518371221505,8571,2378
784431430411685888,5478,1194
784183165795655680,19088,7528
784057939640352768,28311,10423
783839966405230592,28591,10128
783821107061198850,7035,1839
783695101801398276,9935,3012
783466772167098368,8043,2089
783391753726550016,16108,5126
783347506784731136,0,5185
783334639985389568,27685,10954
783085703974514689,7795,2038
782969140009107456,23002,6943
782747134529531904,7124,1330
782722598790725632,16416,5048
782598640137187329,7443,1775
782305867769217024,15829,5165
782021823840026624,0,5788
781955203444699136,10649,3164
781661882474196992,9941,2544
781655249211752448,3813,1063
781524693396357120,19734,5186
781308096455073793,6799,2396
781251288990355457,7973,1946
781163403222056960,9347,2599
780931614150983680,20619,6800
780858289093574656,6866,1881
780800785462489090,5229,1208
780601303617732608,11519,3136
780543529827336192,5989,1639
780496263422808064,0,3460
780476555013349377,0,104
780459368902959104,5038,1011
780192070812196864,8274,2108
780092040432480260,0,2151
780074436359819264,11511,4613
779834332596887552,17873,6544
779377524342161408,8325,2912
779124354206535695,0,17106
779056095788752897,14030,4243
778990705243029504,18881,6694
778774459159379968,0,9220
778764940568104960,825,339
778748913645780993,6512,1217
778650543019483137,5449,1399
778624900596654080,4366,944
778408200802557953,12952,4036
778396591732486144,0,11411
778383385161035776,5541,1024
778286810187399168,9829,3089
778039087836069888,8039,2485
778027034220126208,6237,1501
777953400541634568,0,3290
777885040357281792,6036,1525
777684233540206592,10702,2744
777641927919427584,0,3950
777621514455814149,8289,2353
777189768882946048,13425,4014
776819012571455488,0,12699
776813020089548800,4638,1124
776477788987613185,8310,2581
776249906839351296,0,8524
776218204058357768,28297,14822
776201521193218049,9076,2354
776113305656188928,11200,4061
776088319444877312,1730,142
775898661951791106,0,15638
775842724423557120,11123,2482
775733305207554048,13188,3728
